id,type,createdAt,updatedAt
1,"	""Mens""","	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
2,Womens,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
3,Tops,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
4,Bottoms,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
5,Outerwear,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
6,Tees,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
7,Tanks,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
8,Jeans,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
9,Shorts,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
10,Polos,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
11,Dresses,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
12,Footwear,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
13,Jackets,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
14,Boots,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
15,Bags,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
16,Heels,"	""2017-12-05 21:49:55.858-05""","	""2017-12-05 21:49:55.858-05"""
