id,name,quantity,cost,url,UserId,createdAt,updatedAt
2,Red Dress,1,45,https://i2-prod.mirror.co.uk/incoming/article10965377.ece/ALTERNATES/s615b/Studio-By-Preen-Red-Dress.jpg,2,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
1,Black Polo Tee,3,13,https://images-na.ssl-images-amazon.com/images/I/61Xvh-9Pa7L._SY463_.jpg,1,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
3,Gucci Flip Flops,2,210,http://s3.amazonaws.com/hiphopdx-production/2016/10/Future-Scottie-Pippen-Gucci-Flip-Flop-780x585.jpg,1,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
4,All Saints Leather Jacker,3,610,https://images.allsaints.com/products/2500/ML016M/5/ML016M-5-1.jpg,3,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
5,Rick Owens SS18 Dirt Low Army Boot,2,1583,https://cdn.rickowens.eu/products/37039/large/RU18S5844LMV09_1.jpg,3,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
6,Prada Cami,4,244,https://images.yoox.com/12/12069453ts_14_f.jpg,2,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
7,Timberland Women's Velvet-Accent Preium Waterproof Boots,2,170,https://images.timberland.com/is/image/timberland/A1KHH001-HERO,1,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
8,Supreme/The North Faceå¨Nuptse Jacket (Power Orange),2,257,http://www.betternikebot.com/wp-content/uploads/2016/11/m9UNQrn_gX0.jpg,1,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
9,Frances Valentine Julia Pump,3,169,https://dsw.scene7.com/is/image/DSWShoes/417729_003_ss_01,2,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
10,Rachel Zoe Metallic Flare-Leg Pants,1,395,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/9167768_fpx.tif,2,"""2017-12-05 21:49:55.858-05""","""2017-12-05 21:49:55.858-05"""
